Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

18,08	2,46	18,08
18,09	2,46	18,09
18,12	2,47	18,12
18,15	2,49	18,15
18,17	2,52	18,17
18,20	2,53	18,20
18,21	2,55	18,21
18,24	2,56	18,24
18,27	2,58	18,27
18,30	2,59	18,30
18,30	2,61	18,30
18,34	2,64	18,34
18,37	2,64	18,37
18,38	2,67	18,38
18,41	2,70	18,41
18,43	2,70	18,43
18,47	2,71	18,47
18,49	2,74	18,49
18,50	2,76	18,50
18,53	2,77	18,53
18,55	2,79	18,55
18,58	2,80	18,58
18,61	2,83	18,61
18,62	2,83	18,62
18,65	2,85	18,65
18,68	2,86	18,68
18,70	2,89	18,70
18,71	2,91	18,71
18,74	2,92	18,74
18,77	2,95	18,77
18,79	2,95	18,79
18,82	2,97	18,82
18,83	2,98	18,83
18,85	3,00	18,85
18,88	3,00	18,88
18,91	3,03	18,91
18,92	3,04	18,92
18,94	3,06	18,94
18,97	3,06	18,97
18,98	3,07	18,98
19,00	3,09	19,00
19,03	3,09	19,03
19,04	3,10	19,04
19,09	3,10	19,09
19,10	3,10	19,10
19,12	3,12	19,12
19,15	3,13	19,15
19,16	3,15	19,16
19,18	3,15	19,18
19,21	3,15	19,21
19,22	3,15	19,22
19,25	3,15	19,25
19,27	3,15	19,27
19,30	3,15	19,30
19,31	3,15	19,31
19,33	3,15	19,33
19,36	3,15	19,36
19,37	3,15	19,37
19,40	3,15	19,40
19,42	3,15	19,42
19,43	3,15	19,43
19,46	3,15	19,46
19,48	3,13	19,48
19,51	3,15	19,51
19,52	3,13	19,52
19,55	3,12	19,55
19,57	3,12	19,57
19,58	3,09	19,58
19,60	3,10	19,60
19,61	3,09	19,61
19,64	3,07	19,64
19,67	3,06	19,67
19,69	3,07	19,69
19,70	3,06	19,70
19,72	3,06	19,72
19,75	3,03	19,75
19,76	3,03	19,76
19,79	3,01	19,79
19,81	3,01	19,81
19,84	2,98	19,84
19,85	3,00	19,85
19,87	2,98	19,87
19,88	2,97	19,88
19,91	2,97	19,91
19,93	2,95	19,93
19,96	2,95	19,96
19,97	2,94	19,97
19,99	2,92	19,99
20,00	2,92	20,00
20,02	2,91	20,02
20,03	2,91	20,03
20,06	2,91	20,06
20,08	2,89	20,08
20,11	2,89	20,11
20,12	2,89	20,12
20,14	2,88	20,14
20,15	2,88	20,15
20,19	2,86	20,19
20,20	2,85	20,20
20,23	2,85	20,23
20,25	2,86	20,25
20,26	2,83	20,26
20,28	2,85	20,28
20,31	2,85	20,31
20,32	2,85	20,32
20,34	2,83	20,34
20,35	2,83	20,35
20,37	2,83	20,37
20,40	2,83	20,40
20,40	2,83	20,40
20,43	2,83	20,43
20,44	2,83	20,44
20,47	2,85	20,47
20,49	2,85	20,49
20,50	2,85	20,50
20,52	2,85	20,52
20,53	2,83	20,53
20,56	2,85	20,56
20,58	2,85	20,58
20,61	2,85	20,61
20,61	2,85	20,61
20,62	2,86	20,62
20,65	2,86	20,65
20,67	2,88	20,67
20,70	2,86	20,70
20,70	2,88	20,70
20,73	2,88	20,73
20,74	2,89	20,74
20,76	2,91	20,76
20,77	2,91	20,77
20,80	2,91	20,80
20,82	2,91	20,82
20,83	2,92	20,83
20,85	2,94	20,85
20,85	2,94	20,85
20,88	2,95	20,88
20,91	2,95	20,91
20,92	2,95	20,92
20,94	2,95	20,94
20,95	2,98	20,95
20,97	2,98	20,97
20,98	2,98	20,98
21,00	3,01	21,00
21,03	3,01	21,03
21,04	3,01	21,04
21,06	3,03	21,06
21,07	3,04	21,07
21,09	3,06	21,09
21,10	3,06	21,10
21,13	3,07	21,13
21,13	3,07	21,13
21,15	3,10	21,15
21,18	3,10	21,18
21,18	3,10	21,18
21,21	3,12	21,21
21,22	3,13	21,22
21,24	3,15	21,24
21,25	3,15	21,25
21,27	3,16	21,27
21,28	3,18	21,28
21,31	3,19	21,31
21,31	3,19	21,31
21,33	3,21	21,33
21,36	3,22	21,36
21,37	3,25	21,37
21,39	3,25	21,39
21,40	3,25	21,40
21,42	3,28	21,42
21,43	3,30	21,43
21,45	3,30	21,45
21,46	3,31	21,46
21,49	3,33	21,49
21,51	3,33	21,51
21,52	3,36	21,52
21,52	3,37	21,52
21,55	3,39	21,55
21,57	3,39	21,57
21,57	3,40	21,57
21,58	3,42	21,58
21,61	3,43	21,61
21,63	3,45	21,63
21,64	3,46	21,64
21,66	3,48	21,66
21,67	3,49	21,67
21,69	3,51	21,69
21,70	3,51	21,70
21,72	3,52	21,72
21,73	3,54	21,73
21,75	3,55	21,75
21,76	3,58	21,76
21,79	3,58	21,79
21,79	3,60	21,79
21,81	3,61	21,81
21,82	3,63	21,82
21,84	3,64	21,84
21,85	3,66	21,85
21,87	3,68	21,87
21,88	3,68	21,88
21,91	3,71	21,91
21,91	3,72	21,91
21,93	3,74	21,93
21,94	3,74	21,94
21,97	3,75	21,97
21,97	3,77	21,97
21,99	3,80	21,99
22,01	3,81	22,01
22,02	3,83	22,02
22,04	3,83	22,04
22,05	3,84	22,05
22,07	3,87	22,07
22,08	3,87	22,08
22,10	3,90	22,10
22,11	3,90	22,11
22,13	3,93	22,13
22,14	3,93	22,14
22,16	3,95	22,16
22,17	3,96	22,17
22,19	3,99	22,19
22,20	4,01	22,20
22,22	4,02	22,22
22,23	4,02	22,23
22,23	4,04	22,23
22,25	4,05	22,25
22,28	4,08	22,28
22,28	4,10	22,28
22,29	4,11	22,29
22,31	4,11	22,31
22,34	4,13	22,34
22,34	4,16	22,34
22,35	4,17	22,35
22,37	4,19	22,37
22,38	4,20	22,38
22,40	4,22	22,40
22,40	4,23	22,40
22,43	4,25	22,43
22,43	4,26	22,43
22,44	4,28	22,44
22,46	4,29	22,46
22,47	4,32	22,47
22,49	4,32	22,49
22,50	4,35	22,50
22,52	4,35	22,52
22,53	4,37	22,53
22,55	4,38	22,55
22,56	4,41	22,56
22,56	4,41	22,56
22,58	4,44	22,58
22,59	4,44	22,59
22,61	4,46	22,61
22,64	4,47	22,64
22,64	4,50	22,64
22,65	4,50	22,65
22,67	4,52	22,67
22,68	4,55	22,68
